Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLAN,Anaplan Inc. Common Stock,$51.20,0.09,0.176%,7402676736.00,United States,2018,1286085,Technology,Computer Software: Prepackaged Software
PLTR,Palantir Technologies Inc. Class A Common Stock,$24.45,1.39,6.028%,45886447157.00,,2020,86260971,Technology,Computer Software: Prepackaged Software
PRG,PROG Holdings Inc. Common Stock,$52.18,-0.08,-0.153%,3533593491.00,United States,,344653,Technology,Diversified Commercial Services
PRO,PROS Holdings Inc. Common Stock,$45.56,0.93,2.084%,2016160119.00,United States,2007,342759,Technology,EDP Services
PSTG,Pure Storage Inc. Class A Common Stock,$19.20,0.45,2.40%,5439166406.00,,2015,5504453,Technology,Electronic Components
QD,Qudian Inc. American Depositary Shares each representing one Class A Ordinary Share,$2.29,0.03,1.327%,579571973.00,China,2017,2682462,Technology,Computer Software: Prepackaged Software
QTWO,Q2 Holdings Inc. Common Stock,$95.39,0.02,0.021%,5370963521.00,,2014,311267,Technology,EDP Services
QUOT,Quotient Technology Inc. Common Stock,$11.69,0.23,2.007%,1091406807.00,,2014,512209,Technology,Advertising
RAAS,Cloopen Group Holding Limited American Depositary Shares each representing two Class A Ordinary Shares,$9.00,-0.94,-9.457%,1479331566.00,,2021,2041901,Technology,Computer Software: Prepackaged Software
RAMP,LiveRamp Holdings Inc. Common Stock,$48.97,-0.50,-1.011%,3350204247.00,United States,2018,1273812,Technology,EDP Services
RBLX,Roblox Corporation Class A Common Stock,$99.86,2.97,3.065%,56903369895.00,,2021,16714076,Technology,EDP Services
RENN,Renren Inc. American Depositary Shares each representing fifteen Class A ordinary shares,$11.60,0.65,5.936%,278624530.00,China,2011,160436,Technology,EDP Services
RHI,Robert Half International Inc. Common Stock,$90.22,-0.05,-0.055%,10175065010.00,United States,,645865,Technology,Diversified Commercial Services
RNG,RingCentral Inc. Class A Common Stock,$256.20,3.20,1.265%,23281665162.00,,2013,721555,Technology,EDP Services
ROL,Rollins Inc. Common Stock,$33.92,0.16,0.474%,16692829663.00,United States,,1245350,Technology,Industrial Specialties
RXN,Rexnord Corporation Common Stock,$50.34,-0.41,-0.808%,6026758160.00,United States,2012,567322,Technology,Industrial Machinery/Components
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Common Stock,$91.59,0.92,1.015%,5309270436.00,,,393405,Technology,EDP Services
SAIL,SailPoint Technologies Holdings Inc. Common Stock,$44.03,-0.81,-1.806%,4049030061.00,United States,2017,1728338,Technology,Computer Software: Prepackaged Software
SAP,SAP  SE ADS,$139.14,-0.89,-0.636%,164126669368.00,Germany,,615724,Technology,EDP Services
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,$258.35,0.81,0.315%,135487395242.00,United States,2017,1505529,Technology,Computer Software: Prepackaged Software
SEMR,SEMrush Holdings Inc. Class A Common Stock,$18.10,-1.03,-5.384%,2454816482.00,,2021,690045,Technology,EDP Services
SFUN,Fang Holdings Limited American Depositary Shares (Each representing Four Class A Ordinary Shares HK$1.00 par value),$11.90,0.20,1.709%,107162082.00,China,2010,1540,Technology,EDP Services
SGFY,Signify Health Inc. Class A Common Stock,$24.97,0.06,0.241%,5633867162.00,,2021,682873,Technology,Retail: Computer Software & Peripheral Equipment
SKLZ,Skillz Inc. Class A Common Stock,$21.55,4.56,26.839%,8544334243.00,,2020,56203943,Technology,EDP Services
SLF,Sun Life Financial Inc. Common Stock,$54.10,0.07,0.13%,31675624604.00,Canada,,737749,Technology,Advertising
SMAR,Smartsheet Inc. Class A Common Stock,$60.12,1.23,2.089%,7487709007.00,United States,2018,1774392,Technology,EDP Services
SNAP,Snap Inc. Class A Common Stock,$62.79,-0.90,-1.413%,98071123772.00,United States,2017,16480624,Technology,Internet and Information Services
SNOW,Snowflake Inc. Class A Common Stock,$243.18,2.37,0.984%,72012388315.00,United States,2020,4014209,Technology,Computer Software: Prepackaged Software
SNX,Synnex Corporation Common Stock,$126.49,-0.36,-0.284%,6558783893.00,United States,2003,199363,Technology,EDP Services
SOGO,Sogou Inc. American Depositary Shares each representing one Class A Ordinary Share,$8.35,-0.07,-0.831%,3236384149.00,United States,2017,237193,Technology,EDP Services
SOL,Renesola Ltd. American Depsitary Shares (Each representing 10 shares),$8.27,0.15,1.847%,576819326.00,China,2008,2072073,Technology,Semiconductors
SPGI,S&P Global Inc. Common Stock,$379.83,6.37,1.706%,91501047000.00,United States,,1380201,Technology,Advertising
SQ,Square Inc. Class A Common Stock,$220.41,-1.54,-0.694%,100367804367.00,United States,2015,7139876,Technology,Computer Software: Prepackaged Software
SQNS,Sequans Communications S.A. American Depositary Shares,$5.32,0.01,0.188%,187744657.00,France,2011,149925,Technology,Semiconductors
SQSP,Squarespace Inc. Class A Common Stock,$51.92,-1.08,-2.038%,7065133104.00,,2021,86551,Technology,EDP Services
STEM,Stem Inc. Class A Common Stock,$29.91,2.26,8.174%,3761317394.00,United States,2020,2698966,Technology,Computer Software: Prepackaged Software
STM,STMicroelectronics N.V. Common Stock,$37.11,-0.33,-0.881%,33341381233.00,Switzerland,,1621636,Technology,Semiconductors
SWCH,Switch Inc. Class A Common Stock,$19.39,0.42,2.214%,4683956170.00,,2017,3712716,Technology,EDP Services
SWI,SolarWinds Corporation Common Stock,$16.47,0.15,0.919%,5200094396.00,United States,2018,1014523,Technology,Computer Software: Prepackaged Software
SYX,Systemax Inc. Common Stock,$34.37,-0.14,-0.406%,1296405433.00,United States,,71357,Technology,Industrial Machinery/Components
TBI,TrueBlue Inc. Common Stock,$27.65,0.12,0.436%,980782523.00,United States,,330057,Technology,Professional Services
TDC,Teradata Corporation Common Stock,$50.19,1.64,3.378%,5500824000.00,United States,,1297372,Technology,EDP Services
TGH,Textainer Group Holdings Limited Common Shares,$34.92,0.84,2.465%,1749244452.00,Bermuda,2007,977380,Technology,Diversified Commercial Services
TNET,TriNet Group Inc. Common Stock,$73.08,-1.91,-2.547%,4814630982.00,,2014,436020,Technology,Diversified Commercial Services
TRTN,Triton International Limited Common Shares,$54.18,-0.38,-0.696%,3650215393.00,,2016,446254,Technology,Diversified Commercial Services
TRU,TransUnion Common Stock,$105.40,-0.61,-0.575%,20160134886.00,United States,2015,616925,Technology,Advertising
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$118.95,0.44,0.371%,616883740200.00,Taiwan,1997,5380062,Technology,Semiconductors
TSQ,Townsquare Media Inc. Class A Common Stock,$13.93,0.13,0.942%,227423813.00,United States,2014,74105,Technology,Advertising
TUFN,Tufin Software Technologies Ltd. Ordinary Shares,$9.10,0.23,2.593%,334614034.00,,2019,166877,Technology,EDP Services
TUYA,Tuya Inc. American Depositary Shares each representing one Class A Ordinary Share,$25.29,-0.66,-2.543%,14156332448.00,,2021,415096,Technology,Computer Software: Prepackaged Software
TWTR,Twitter Inc. Common Stock,$57.16,-0.28,-0.487%,45620918228.00,,2013,9460013,Technology,Computer Software: Prepackaged Software
TYL,Tyler Technologies Inc. Common Stock,$400.99,-1.01,-0.251%,16335812115.00,United States,,231614,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,$93.51,-0.21,-0.224%,26128315276.00,United States,2020,2979685,Technology,Retail: Computer Software & Peripheral Equipment
UBER,Uber Technologies Inc. Common Stock,$50.79,-0.19,-0.373%,95066693955.00,,2019,13479985,Technology,EDP Services
UI,Ubiquiti Inc. Common Stock,$301.84,11.92,4.111%,18959815792.00,United States,,108509,Technology,Radio And Television Broadcasting And Communications Equipment
UIS,Unisys Corporation New Common Stock,$25.88,0.00,0.00%,1734542300.00,United States,,406638,Technology,EDP Services
UMC,United Microelectronics Corporation (NEW) Common Stock,$9.47,0.08,0.852%,23527270822.00,Taiwan,,4399161,Technology,Semiconductors
URI,United Rentals Inc. Common Stock,$338.47,-0.98,-0.289%,24497829723.00,United States,1997,773983,Technology,Diversified Commercial Services
VIAO,VIA optronics AG American Depositary Shares each representing one-fifth of an Ordinary Share,$13.70,0.48,3.631%,310353019.00,,2020,10559,Technology,Semiconductors
VMW,Vmware Inc. Common stock Class A,$159.60,-1.66,-1.029%,66889912589.00,United States,2007,1447371,Technology,Computer Software: Prepackaged Software
WEX,WEX Inc. common stock,$202.67,-1.34,-0.657%,9067712786.00,United States,,736616,Technology,EDP Services
WIT,Wipro Limited Common Stock,$8.11,0.10,1.248%,44279161886.00,India,,2462313,Technology,EDP Services
WK,Workiva Inc. Class A Common Stock,$94.79,-0.65,-0.681%,4738922255.00,United States,2014,365848,Technology,Computer Software: Prepackaged Software
WORK,Slack Technologies Inc. Class A Common Stock,$43.70,-0.14,-0.319%,25417965335.00,,2019,4762122,Technology,EDP Services
WPP,WPP plc American Depositary Shares,$71.07,-0.26,-0.365%,17121645689.00,Ireland,,55615,Technology,Advertising
XRX,Xerox Holdings Corporation Common Stock,$24.04,0.62,2.647%,4614414126.00,United States,,1875956,Technology,EDP Services
YALA,Yalla Group Limited American Depositary Shares each representing one Class A Ordinary Share,$18.33,0.45,2.517%,2638239283.00,United Arab Emirates,2020,2481927,Technology,Computer Software: Programming Data Processing
YELP,Yelp Inc. Common Stock,$39.47,-0.46,-1.152%,2940430889.00,United States,2012,659149,Technology,Internet and Information Services
YEXT,Yext Inc. Common Stock,$14.30,0.62,4.532%,1804868079.00,United States,2017,2606833,Technology,EDP Services
ZEN,Zendesk Inc. Common Stock,$134.41,-0.21,-0.156%,15947712763.00,,2014,796722,Technology,EDP Services
ZEPP,Zepp Health Corporation American Depositary Shares,$10.20,-0.23,-2.205%,642126496.00,China,2018,141372,Technology,Computer Manufacturing
ZIP,ZipRecruiter Inc. Class A Common Stock,$23.80,0.75,3.254%,2489480000.00,,2021,6788686,Technology,Diversified Commercial Services
ZUO,Zuora Inc. Class A Common Stock,$15.21,0.23,1.535%,1858578832.00,,2018,912357,Technology,EDP Services
